N,종목명,현재가,전일비변동,전일비,등락률,액면가,주당순이익,PER,ROE,ROA,PBR,유보율
1,삼성전자,"56,800",상승,600,+1.07%,100,"5,162",11.00,9.03,7.10,0.96,"41,772.8"
2,SK하이닉스,"207,500",상승,"3,000",+1.47%,"5,000","35,682",5.82,31.06,17.98,1.76,"1,911.2"
3,삼성바이오로직스,"1,031,000",하락,"1,000",-0.10%,"2,500","17,977",57.35,10.45,6.49,6.51,"6,041.4"
4,LG에너지솔루션,"284,500",하락,"1,500",-0.52%,500,"-4,974",-57.20,-4.93,0.64,3.15,"15,864.8"
5,한화에어로스페이스,"835,000",상승,"24,000",+2.96%,"5,000","49,447",16.89,53.94,8.08,9.66,"2,060.4"
6,KB금융,"100,000",하락,"4,300",-4.12%,"5,000","12,705",7.87,8.86,0.68,0.65,"2,820.3"
7,HD현대중공업,"428,000",상승,"22,500",+5.55%,"5,000","9,880",43.32,11.39,3.40,6.54,993.7
8,삼성전자우,"46,350",상승,250,+0.54%,100,"5,162",8.98,N/A,N/A,0.78,N/A
9,현대차,"184,000",하락,"1,300",-0.70%,"5,000","45,880",4.01,12.43,4.25,0.43,"7,001.5"
10,셀트리온,"161,000",보합,0,0.00%,"1,000","2,244",71.75,2.46,2.04,2.00,"8,422.3"
11,기아,"88,400",하락,"1,000",-1.12%,"5,000","23,440",3.77,19.09,11.28,0.62,"2,430.7"
12,NAVER,"186,500",하락,"1,000",-0.53%,100,"11,452",16.29,7.90,5.23,1.05,"166,173.7"
13,신한지주,"55,800",하락,"2,300",-3.96%,"5,000","8,740",6.38,8.11,0.64,0.50,"1,889.2"
14,두산에너빌리티,"40,950",상승,600,+1.49%,"5,000",-159,-257.55,1.52,1.55,3.45,90.8
15,삼성물산,"151,300",상승,"1,500",+1.00%,100,"12,523",12.08,6.83,4.33,0.78,"133,443.8"
16,한화오션,"77,800",하락,200,-0.26%,"5,000","2,261",34.41,11.52,3.32,4.69,23.1
17,현대모비스,"246,500",하락,"6,500",-2.57%,"5,000","45,380",5.43,9.35,6.49,0.47,"9,016.3"
18,HMM,"22,300",상승,"1,000",+4.69%,"5,000","5,073",4.40,15.35,12.70,0.70,421.5
19,HD한국조선해양,"312,500",하락,"4,000",-1.26%,"5,000","20,895",14.96,11.16,4.22,1.94,"4,997.3"
20,하나금융지주,"70,000",하락,"2,700",-3.71%,"5,000","12,872",5.44,9.11,0.61,0.46,"2,823.5"
21,메리츠금융지주,"111,300",하락,400,-0.36%,500,"11,897",9.36,23.44,2.14,1.98,"10,244.4"
22,삼성생명,"99,900",상승,"1,000",+1.01%,500,"10,534",9.48,6.18,0.72,0.58,"34,748.3"
23,POSCO홀딩스,"244,000",하락,"6,000",-2.40%,"5,000","10,286",23.72,2.00,0.93,0.33,"11,465.0"
24,한국전력,"30,100",하락,250,-0.82%,"5,000","8,191",3.67,9.22,1.49,0.46,703.2
25,카카오,"43,150",상승,450,+1.05%,100,346,124.71,0.56,-0.64,1.82,"24,438.2"
26,삼성화재,"388,000",하락,"16,500",-4.08%,500,"41,007",9.46,13.11,2.41,1.06,"64,439.2"
27,크래프톤,"368,000",하락,"1,000",-0.27%,100,"27,686",13.29,21.10,18.14,2.32,"133,158.9"
